id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1192581034464551462,Modern and cozy flat in the heart of Zürich,40133575,John,Kreis 3,Sihlfeld,47.37033,8.5191,Entire home/apt,154,2,4,2024-11-03,0.47,1,52,4,
1192702643204372405,Taylor Swift-Letzigrund Stadion,112433538,Lukas,Kreis 9,Altstetten,47.384657943811774,8.502108380198479,Private room,850,1,0,,,1,365,0,
1192755944957127366,Zentrales Zimmer in Zürich,243728496,Henrik,Kreis 4,Hard,47.37971,8.51977,Private room,183,1,0,,,1,365,0,
1192793812266356598,Cosy apartment in central Zurich,30163717,Theresa,Kreis 6,Oberstrass,47.38169,8.54864,Entire home/apt,,2,11,2025-03-09,1.29,1,0,11,
1192850011070635727,Room with access to rooftop!,47453213,Marco,Kreis 7,Hottingen,47.36555,8.56089,Private room,117,10,0,,,1,365,0,
1192857815059091323,"Super Lage, 4Fussminuten zum See! Alles in Nähe",586846754,Maria,Kreis 8,Mühlebach,47.36151,8.55261,Entire home/apt,122,1,4,2024-12-15,0.48,1,120,4,
1192875603479588678,Stylish apartment in Zurich,30835852,Giorgia Giulia,Kreis 6,Oberstrass,47.3819,8.54641,Entire home/apt,162,2,5,2024-12-07,0.59,1,179,5,
1193366163568866047,Cozy flat in city centre Zurich,192044893,Stanislav,Kreis 2,Enge,47.36369903585161,8.531780652701855,Entire home/apt,290,7,0,,,1,83,0,
1193570648112528216,Cosy room / Taylor Swift concert,41529756,Kinga,Kreis 9,Altstetten,47.38896,8.49407,Private room,,1,1,2024-07-10,0.12,1,0,1,
1194083695404787575,Cozy Room in Zurich City Centre,439077223,Lei,Kreis 2,Enge,47.36495,8.53218,Private room,225,1,0,,,1,365,0,
1194093689062120129,Room in unique and centrally located house - 8001,139680564,Marco,Kreis 1,Hochschulen,47.3771503,8.545430399999999,Private room,430,2,0,,,1,7,0,
1194208321158943130,Livin on the top of Zurich,63857772,Reto,Kreis 6,Unterstrass,47.3972368,8.539284100000001,Private room,1000,1,0,,,1,269,0,
1194225214681899293,Huge Charming City Center Studio with Balcony RI7M,420370006,Kamila,Kreis 6,Oberstrass,47.38566,8.55137,Entire home/apt,141,1,4,2024-09-08,0.54,91,173,4,
1194300655940160085,Top Zurich Waldgarten,246846339,Danilo,Kreis 12,Schwamendingen-Mitte,47.40388846201667,8.560134954750538,Entire home/apt,99,3,8,2024-12-15,1.02,2,324,8,
1194628509673816203,Beautiful apartment in the hearth of Zürich,153082529,Florian,Kreis 3,Sihlfeld,47.37493,8.51885,Entire home/apt,134,5,1,2025-02-02,0.60,1,164,1,
